short_name,player_positions,value_eur,overall,potential,age,international_reputation,preferred_foot,weak_foot,skill_moves,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic
R. Mahrez,"RM, RW",54000000.0,86,86,32,3,Left,4,5,179,67,79.0,81.0,81.0,89.0,38.0,60.0
S. Mané,"CF, LM, ST",57500000.0,86,86,31,4,Right,4,4,174,69,85.0,83.0,79.0,87.0,44.0,74.0
João Cancelo,"LB, RB",59500000.0,86,86,29,3,Right,4,4,182,74,81.0,73.0,85.0,84.0,80.0,72.0
P. Dybala,"CF, CAM",68000000.0,86,86,29,3,Left,3,4,177,75,80.0,85.0,85.0,90.0,40.0,60.0
N. Kanté,"CDM, CM",45000000.0,86,86,32,4,Right,3,2,168,70,69.0,65.0,73.0,80.0,85.0,77.0
A. Robertson,LB,59500000.0,86,86,29,3,Left,2,3,178,64,80.0,61.0,82.0,81.0,81.0,77.0
S. Milinković-Savić,CM,68000000.0,86,86,28,3,Right,5,4,192,95,68.0,80.0,82.0,82.0,79.0,86.0
Rodrygo,"RW, LW, ST",86500000.0,85,91,22,3,Right,4,4,174,64,88.0,81.0,79.0,86.0,31.0,62.0
F. Wirtz,"CAM, CM",83500000.0,85,91,20,3,Right,4,4,177,71,74.0,76.0,83.0,87.0,52.0,63.0
T. Hernández,"LB, LM",73500000.0,85,90,25,3,Left,3,3,184,81,93.0,71.0,76.0,81.0,78.0,84.0
A. Bastoni,CB,73500000.0,85,90,24,2,Left,3,2,190,75,73.0,35.0,72.0,73.0,86.0,83.0
P. Foden,"LW, RW",81500000.0,85,90,23,3,Left,3,4,171,69,81.0,79.0,82.0,88.0,57.0,60.0
J. Koundé,"CB, RB",69500000.0,85,89,24,3,Right,3,3,180,75,84.0,45.0,68.0,75.0,86.0,80.0
M. Rashford,"LW, LM, ST",71500000.0,85,88,25,3,Right,3,5,186,70,90.0,86.0,78.0,84.0,42.0,74.0
Diogo Jota,"CF, LW",67500000.0,85,87,26,2,Right,5,4,178,68,82.0,82.0,75.0,85.0,57.0,77.0
D. Rice,"CDM, CM",63000000.0,85,87,24,3,Right,3,2,185,80,71.0,65.0,75.0,77.0,83.0,83.0
J. Stones,"CB, RB",49500000.0,85,86,29,2,Right,4,3,188,76,72.0,52.0,75.0,77.0,85.0,77.0
A. Laporte,CB,49500000.0,85,86,29,3,Left,3,2,191,85,61.0,50.0,73.0,69.0,86.0,78.0
A. Onana,GK,46000000.0,85,86,27,3,Right,3,1,190,93,,,,,,
K. Trippier,RB,37500000.0,85,85,32,2,Right,4,3,173,71,68.0,65.0,86.0,79.0,82.0,72.0
K. Trapp,GK,26500000.0,85,85,32,3,Right,4,1,189,84,,,,,,
C. Immobile,ST,34500000.0,85,85,33,4,Right,4,3,185,85,85.0,87.0,68.0,78.0,39.0,74.0
Iago Aspas,ST,23000000.0,85,85,35,3,Left,4,3,176,67,81.0,85.0,79.0,86.0,35.0,64.0
K. Navas,GK,6000000.0,85,85,36,3,Right,3,1,185,80,,,,,,
D. Alaba,"CB, LB",37000000.0,85,85,31,4,Left,4,3,180,78,79.0,71.0,83.0,80.0,85.0,77.0
R. Varane,CB,44000000.0,85,85,30,3,Right,4,2,191,81,79.0,49.0,64.0,67.0,86.0,78.0
E. Martínez,GK,36000000.0,85,85,30,3,Right,4,1,195,88,,,,,,
A. Rüdiger,CB,44000000.0,85,85,30,3,Right,3,2,190,85,82.0,54.0,71.0,66.0,84.0,86.0
J. Grealish,"LW, LM",57500000.0,85,85,27,3,Right,3,4,180,81,76.0,76.0,84.0,88.0,53.0,73.0
H. Çalhanoğlu,"CM, CDM",52500000.0,85,85,29,3,Right,4,4,178,76,67.0,80.0,86.0,85.0,70.0,66.0
L. Goretzka,"CM, CDM",54000000.0,85,85,28,4,Right,4,3,189,82,78.0,81.0,81.0,83.0,80.0,86.0
Y. Bounou,GK,26500000.0,85,85,32,3,Left,2,1,195,78,,,,,,
T. Partey,"CDM, CM",45000000.0,85,85,30,2,Right,3,3,185,77,68.0,71.0,82.0,80.0,81.0,82.0
D. Berardi,"RW, RM",54500000.0,85,85,28,2,Left,3,4,183,72,82.0,83.0,81.0,87.0,36.0,72.0
K. Coman,"LM, RM",57500000.0,85,85,27,4,Right,3,5,181,75,89.0,76.0,79.0,87.0,30.0,62.0
G. Di Lorenzo,RB,47500000.0,85,85,29,2,Right,3,3,183,83,85.0,67.0,75.0,79.0,82.0,82.0
M. Acuña,"LB, LM",39000000.0,85,85,31,3,Left,3,3,172,69,75.0,74.0,83.0,83.0,81.0,84.0
A. Tchouaméni,"CDM, CM",58500000.0,84,89,23,3,Right,3,3,187,81,73.0,69.0,79.0,78.0,81.0,81.0
I. Bennacer,"CDM, CM, CAM",53500000.0,84,88,25,2,Left,3,4,175,70,80.0,72.0,81.0,86.0,79.0,78.0
F. Tomori,CB,52500000.0,84,88,25,2,Right,4,2,185,79,86.0,40.0,59.0,66.0,86.0,82.0
M. Diaby,"RM, LM",60500000.0,84,88,23,3,Left,3,4,171,67,95.0,73.0,75.0,86.0,42.0,59.0
Gabriel Martinelli,"LW, LM",61500000.0,84,88,22,2,Right,3,4,178,75,89.0,78.0,76.0,86.0,46.0,72.0
A. Ramsdale,GK,43000000.0,84,87,25,2,Right,3,1,191,77,,,,,,
R. Kolo Muani,"ST, RM",58500000.0,84,87,24,3,Right,4,4,187,73,91.0,78.0,73.0,86.0,38.0,67.0
L. Martínez,CB,49500000.0,84,87,25,2,Left,3,3,178,77,73.0,59.0,78.0,79.0,85.0,83.0
Bremer,CB,49000000.0,84,87,26,1,Right,2,2,188,82,80.0,50.0,56.0,65.0,85.0,83.0
Bruno Guimarães,"CM, CDM",55500000.0,84,87,25,2,Right,2,3,182,74,71.0,74.0,81.0,84.0,80.0,81.0
N. Süle,"CB, RB",45000000.0,84,86,27,3,Right,3,3,195,99,73.0,51.0,68.0,62.0,85.0,85.0
Rúben Neves,"CDM, CM",47000000.0,84,86,26,3,Right,4,3,183,83,60.0,75.0,86.0,77.0,76.0,73.0
Álex Remiro,GK,36000000.0,84,86,28,2,Right,4,1,192,79,,,,,,
Gabriel,CB,47000000.0,84,86,25,2,Left,2,2,190,87,70.0,41.0,62.0,60.0,85.0,82.0
A. Hakimi,"RB, RWB",50500000.0,84,86,24,3,Right,4,4,181,73,92.0,75.0,80.0,80.0,75.0,78.0
Kim Min Jae,CB,46000000.0,84,86,26,2,Right,3,2,190,86,80.0,33.0,58.0,64.0,85.0,84.0
R. James,"RB, RWB",50500000.0,84,86,23,2,Right,3,3,178,87,80.0,72.0,83.0,82.0,82.0,81.0
J. Brandt,"CAM, RM, CM",48500000.0,84,85,27,3,Right,4,4,185,83,71.0,80.0,84.0,86.0,51.0,70.0
P. Højbjerg,"CDM, CM",43000000.0,84,85,27,2,Right,4,3,187,84,55.0,73.0,78.0,78.0,81.0,82.0
J. Maddison,"CAM, RM, CM",49500000.0,84,85,26,2,Right,4,4,175,73,71.0,81.0,86.0,86.0,54.0,63.0
L. Hernández,"CB, LB",42500000.0,84,85,27,3,Left,2,2,184,79,76.0,54.0,70.0,70.0,84.0,78.0
Mikel Merino,"CM, CAM, LM",48000000.0,84,85,27,2,Left,3,3,189,83,72.0,78.0,82.0,82.0,83.0,82.0
Gabriel Jesus,"ST, RW",50500000.0,84,85,26,2,Right,3,4,175,73,83.0,82.0,75.0,88.0,40.0,77.0
Raphinha,RW,49500000.0,84,85,26,3,Left,4,4,176,68,91.0,79.0,78.0,86.0,53.0,73.0
F. Chiesa,"LM, LW, RW",50500000.0,84,85,25,3,Right,4,4,175,70,91.0,82.0,76.0,86.0,53.0,75.0
L. Díaz,"LW, LM",49500000.0,84,85,26,2,Right,4,4,180,73,91.0,81.0,75.0,87.0,34.0,74.0
Thiago Silva,CB,7500000.0,84,84,38,4,Right,3,2,183,79,51.0,54.0,74.0,72.0,87.0,74.0
Y. Sommer,GK,7000000.0,84,84,34,3,Right,4,1,183,79,,,,,,
P. Gulácsi,GK,13500000.0,84,84,33,3,Right,2,1,191,86,,,,,,
K. Walker,RB,22000000.0,84,84,33,3,Right,2,3,183,83,90.0,63.0,77.0,78.0,79.0,81.0
Thiago,CM,33000000.0,84,84,32,3,Right,3,5,174,70,61.0,72.0,86.0,89.0,71.0,67.0
T. Müller,"CAM, CF, ST",26500000.0,84,84,33,4,Right,4,3,185,76,59.0,82.0,83.0,79.0,55.0,69.0
C. Smalling,CB,20000000.0,84,84,33,3,Right,3,2,194,81,62.0,47.0,58.0,62.0,87.0,82.0
R. Lukaku,ST,41500000.0,84,84,30,4,Left,4,3,191,94,80.0,84.0,74.0,77.0,38.0,82.0
K. Casteels,GK,22500000.0,84,84,31,3,Left,2,1,197,86,,,,,,
Koke,"CDM, CM",29500000.0,84,84,31,3,Right,4,3,176,75,69.0,72.0,85.0,79.0,79.0,78.0
Luis Alberto,CM,40500000.0,84,84,30,2,Right,3,4,183,74,69.0,77.0,85.0,84.0,62.0,58.0
K. Koulibaly,CB,27500000.0,84,84,32,3,Right,4,2,186,93,76.0,48.0,63.0,68.0,84.0,83.0
M. Depay,"CF, LW, ST",42000000.0,84,84,29,4,Right,3,5,176,78,82.0,82.0,81.0,85.0,30.0,80.0
N. Pope,GK,22500000.0,84,84,31,2,Right,3,1,199,76,,,,,,
S. Gnabry,"RM, ST, LM",45000000.0,84,84,27,3,Right,4,4,176,77,81.0,84.0,78.0,84.0,43.0,68.0
M. Ginter,CB,35500000.0,84,84,29,3,Right,3,2,189,86,60.0,59.0,71.0,66.0,85.0,80.0
Y. Carrasco,"LW, LWB",41500000.0,84,84,29,3,Right,4,4,181,73,88.0,81.0,80.0,85.0,59.0,66.0
Fabinho,CDM,36000000.0,84,84,29,3,Right,2,3,188,78,59.0,69.0,78.0,77.0,82.0,82.0
A. Rabiot,"CM, LM",42000000.0,84,84,28,2,Left,3,3,191,80,78.0,76.0,80.0,80.0,82.0,84.0
Grimaldo,"LWB, LM",40500000.0,84,84,27,3,Left,2,3,171,67,87.0,69.0,83.0,84.0,76.0,72.0
R. De Paul,CM,41000000.0,84,84,29,3,Right,3,4,180,70,78.0,77.0,83.0,82.0,75.0,83.0
S. Lobotka,"CM, CDM",42000000.0,84,84,28,2,Right,4,3,170,64,71.0,70.0,81.0,83.0,77.0,75.0
L. Sané,"RM, LM",45000000.0,84,84,27,3,Left,2,4,183,80,91.0,81.0,80.0,85.0,38.0,68.0
Marcos Llorente,"RM, CM, RB",42500000.0,84,84,28,3,Right,4,3,184,74,89.0,78.0,79.0,80.0,78.0,81.0
M. Škriniar,CB,36500000.0,84,84,28,3,Right,3,2,187,80,78.0,41.0,57.0,67.0,86.0,83.0
Gavi,"CM, LW",68500000.0,83,90,18,3,Right,3,3,173,70,76.0,66.0,78.0,85.0,68.0,70.0
W. Saliba,CB,53000000.0,83,89,22,2,Right,3,2,193,85,82.0,39.0,69.0,73.0,84.0,82.0
E. Fernández,"CM, CDM",58000000.0,83,89,22,3,Right,4,3,178,76,73.0,73.0,81.0,80.0,75.0,79.0
A. Davies,"LB, LM",52000000.0,83,88,22,3,Left,4,4,185,77,95.0,66.0,78.0,84.0,74.0,77.0
C. Gakpo,"CF, LW",55500000.0,83,88,24,2,Right,4,4,189,76,85.0,82.0,78.0,84.0,42.0,73.0
D. Vlahović,ST,55500000.0,83,88,23,2,Left,3,3,190,75,80.0,85.0,66.0,79.0,29.0,82.0
N. Schlotterbeck,CB,49500000.0,83,88,23,3,Left,2,3,191,90,78.0,58.0,67.0,73.0,85.0,82.0
J. Frimpong,"RWB, RM",52000000.0,83,88,22,2,Right,3,3,171,64,94.0,56.0,75.0,84.0,74.0,70.0
Dani Olmo,"CAM, CF",50500000.0,83,87,25,3,Right,4,4,179,72,68.0,76.0,82.0,86.0,50.0,59.0
S. Botman,CB,47000000.0,83,87,23,2,Left,3,2,193,81,65.0,37.0,63.0,66.0,84.0,84.0
Unai Simón,GK,36500000.0,83,86,26,3,Right,3,1,190,89,,,,,,
Pau Torres,CB,42000000.0,83,86,26,3,Left,3,2,191,80,72.0,38.0,68.0,70.0,84.0,81.0
A. Christensen,CB,38500000.0,83,85,27,2,Right,3,2,187,82,67.0,32.0,68.0,71.0,85.0,76.0
J. Giménez,CB,36500000.0,83,85,28,2,Right,3,2,185,79,71.0,46.0,58.0,61.0,85.0,82.0
A. Meret,GK,34000000.0,83,85,26,2,Left,3,1,190,83,,,,,,
G. Mancini,CB,38500000.0,83,85,27,2,Right,3,2,190,77,67.0,45.0,54.0,62.0,83.0,86.0
K. Laimer,"CDM, CM",38000000.0,83,84,26,3,Right,3,3,180,72,80.0,69.0,77.0,78.0,81.0,79.0
G. Rodríguez,CDM,35000000.0,83,84,28,2,Right,4,2,185,80,51.0,58.0,72.0,70.0,85.0,80.0
B. Pavard,"CB, RB",36500000.0,83,84,27,3,Right,3,3,186,81,70.0,62.0,73.0,72.0,85.0,78.0
A. Zambo Anguissa,"CDM, CM",37000000.0,83,84,27,1,Right,3,3,184,78,78.0,68.0,72.0,81.0,81.0,86.0
L. Pellegrini,"CAM, CM, CF",42000000.0,83,84,27,2,Right,4,3,186,77,79.0,76.0,83.0,83.0,74.0,78.0
Palhinha,"CDM, CM",37000000.0,83,84,27,2,Right,4,2,190,85,62.0,67.0,71.0,76.0,84.0,89.0
Oyarzabal,"LM, RM, LW",43000000.0,83,84,26,3,Left,3,3,181,79,77.0,83.0,80.0,83.0,41.0,62.0
P. Schick,ST,42500000.0,83,84,27,3,Left,3,4,191,86,79.0,80.0,71.0,81.0,37.0,76.0
Sergio Ramos,CB,6500000.0,83,83,37,4,Right,3,3,184,82,57.0,69.0,73.0,70.0,83.0,76.0
H. Lloris,GK,4000000.0,83,83,36,4,Left,1,1,188,82,,,,,,
M. Hummels,CB,12000000.0,83,83,34,3,Right,3,2,191,94,53.0,58.0,76.0,70.0,86.0,78.0
E. Džeko,ST,12500000.0,83,83,37,3,Right,5,3,193,80,59.0,84.0,72.0,77.0,45.0,76.0
Á. Di María,"CF, RW, RM",15500000.0,83,83,35,4,Left,2,5,180,69,78.0,78.0,86.0,89.0,48.0,67.0
M. Reus,"CAM, CF",17000000.0,83,83,34,3,Right,4,4,180,71,65.0,83.0,83.0,85.0,53.0,63.0
Jordi Alba,LB,13500000.0,83,83,34,3,Left,3,3,170,68,84.0,70.0,82.0,81.0,76.0,70.0
Sergio Busquets,CDM,12500000.0,83,83,34,4,Right,3,3,189,76,37.0,62.0,79.0,79.0,81.0,73.0
C. Eriksen,"CM, CDM",30000000.0,83,83,31,3,Right,5,4,181,76,59.0,77.0,89.0,81.0,51.0,53.0
A. Lacazette,ST,29500000.0,83,83,32,3,Right,4,4,175,73,72.0,84.0,77.0,83.0,44.0,77.0
W. Ben Yedder,ST,29500000.0,83,83,32,3,Right,5,4,170,68,80.0,84.0,78.0,87.0,39.0,68.0
F. Acerbi,CB,9500000.0,83,83,35,3,Left,3,3,192,88,60.0,50.0,64.0,64.0,86.0,80.0
Nacho Fernández,"CB, LB, RB",17500000.0,83,83,33,2,Right,4,2,180,76,75.0,37.0,69.0,71.0,82.0,80.0
Morata,ST,35500000.0,83,83,30,3,Right,4,3,190,84,82.0,82.0,72.0,79.0,31.0,79.0
Sergi Darder,"CM, CDM, CAM",35500000.0,83,83,29,2,Right,3,3,180,71,81.0,76.0,82.0,83.0,74.0,77.0
R. Sterling,"LW, RW, ST",36500000.0,83,83,28,4,Right,3,4,170,69,85.0,78.0,76.0,85.0,45.0,67.0
W. Orban,CB,30000000.0,83,83,30,3,Right,3,2,186,87,58.0,36.0,56.0,56.0,85.0,81.0
Jorginho,"CDM, CM",25500000.0,83,83,31,2,Right,3,3,178,68,53.0,67.0,84.0,81.0,74.0,73.0
S. Haller,ST,36500000.0,83,83,29,3,Right,3,3,191,90,62.0,81.0,63.0,76.0,52.0,81.0
L. Shaw,"LB, CB",35000000.0,83,83,27,2,Left,2,3,181,75,76.0,57.0,82.0,79.0,81.0,78.0
Gerard Moreno,"ST, RM",30500000.0,83,83,31,3,Left,4,3,180,77,77.0,85.0,77.0,81.0,46.0,72.0
E. Can,"CDM, CB",31000000.0,83,83,29,3,Right,4,3,186,86,79.0,78.0,77.0,79.0,82.0,87.0
F. Kostić,"LM, LW",35000000.0,83,83,30,3,Left,2,3,184,84,85.0,76.0,82.0,82.0,70.0,80.0
J. Hofmann,"CAM, RM, LM",35000000.0,83,83,30,3,Right,4,3,176,72,76.0,79.0,83.0,81.0,64.0,73.0
P. Zieliński,"CM, CAM",35500000.0,83,83,29,3,Right,5,4,180,75,81.0,77.0,81.0,86.0,71.0,63.0
A. Romagnoli,CB,31500000.0,83,83,28,2,Left,3,2,185,75,69.0,40.0,56.0,69.0,85.0,80.0
M. Brozović,"CDM, CM",30500000.0,83,83,30,3,Right,4,3,181,72,66.0,74.0,81.0,80.0,80.0,78.0
Rafa,"CF, RM",35500000.0,83,83,30,2,Right,3,4,172,66,93.0,77.0,77.0,86.0,50.0,54.0
N. Fekir,CAM,35500000.0,83,83,29,3,Left,4,4,173,75,82.0,81.0,81.0,86.0,39.0,80.0
Marco Asensio,RW,38500000.0,83,83,27,3,Left,3,4,182,76,81.0,81.0,81.0,83.0,43.0,63.0
Borja Iglesias,ST,35500000.0,83,83,30,2,Right,3,3,187,86,69.0,84.0,66.0,76.0,40.0,82.0
Ronaldo Cabrais,"CAM, RM",30000000.0,83,83,31,1,Right,4,4,177,75,88.0,77.0,83.0,84.0,35.0,72.0
E. Camavinga,"CDM, CM, LB",56500000.0,82,89,20,3,Left,3,4,182,68,79.0,66.0,80.0,82.0,76.0,80.0
Diogo Costa,GK,39000000.0,82,88,23,2,Right,2,1,192,84,,,,,,
Ferran Torres,"LW, RW, ST",48000000.0,82,88,23,3,Right,4,4,184,77,83.0,79.0,78.0,83.0,35.0,68.0
J. Gvardiol,"CB, LB",44500000.0,82,88,21,3,Left,4,3,185,80,78.0,54.0,69.0,74.0,82.0,83.0
D. Núñez,"ST, LW",48500000.0,82,88,24,3,Right,3,3,187,80,90.0,81.0,71.0,76.0,43.0,85.0
R. Le Normand,CB,40000000.0,82,87,26,1,Right,3,2,187,81,62.0,26.0,54.0,59.0,84.0,79.0
K. Havertz,"CAM, RW, ST",46000000.0,82,87,24,3,Left,4,4,190,82,78.0,79.0,79.0,83.0,45.0,68.0
Nuno Mendes,"LB, LWB",43500000.0,82,87,21,2,Left,4,3,176,70,89.0,58.0,75.0,80.0,77.0,76.0
M. Locatelli,"CDM, CM",38500000.0,82,86,25,2,Right,4,3,185,75,67.0,70.0,80.0,78.0,79.0,80.0
D. Upamecano,CB,39500000.0,82,86,24,3,Right,3,3,186,90,83.0,45.0,63.0,72.0,81.0,83.0
C. Romero,CB,38000000.0,82,86,25,3,Right,2,3,185,79,70.0,46.0,59.0,66.0,84.0,80.0
J. Sancho,"LW, LM",43500000.0,82,86,23,3,Right,3,5,180,76,78.0,70.0,80.0,87.0,33.0,47.0
N. Molina,"RB, RWB, RM",39500000.0,82,86,25,1,Right,3,3,175,70,85.0,67.0,76.0,79.0,78.0,71.0
D. Szoboszlai,CAM,44500000.0,82,86,22,2,Right,4,4,186,74,83.0,82.0,84.0,82.0,34.0,64.0
O. Kökçü,"CM, CAM",44000000.0,82,86,22,2,Right,5,3,175,68,72.0,76.0,83.0,80.0,69.0,79.0
L. Openda,ST,44000000.0,82,86,23,2,Right,4,3,177,79,93.0,79.0,68.0,80.0,31.0,78.0
F. Dimarco,"LWB, LM, CB",37000000.0,82,85,25,2,Left,2,3,175,75,79.0,71.0,80.0,79.0,74.0,71.0
R. Bentancur,"CM, CDM",39500000.0,82,85,26,2,Right,4,4,187,73,70.0,67.0,81.0,83.0,79.0,77.0
N. Mazraoui,RB,37000000.0,82,85,25,2,Right,3,3,183,65,79.0,66.0,77.0,83.0,77.0,74.0
G. Vicario,GK,30500000.0,82,85,26,2,Right,1,1,188,76,,,,,,
Pedro Gonçalves,"LW, RW, CM",40500000.0,82,85,25,1,Right,4,4,173,77,76.0,82.0,81.0,84.0,58.0,66.0
V. Tsygankov,"RM, CM, CAM",40500000.0,82,85,25,2,Left,4,4,178,72,85.0,78.0,79.0,81.0,46.0,61.0
B. Dia,"ST, LW, CF",40500000.0,82,85,26,1,Right,3,3,180,75,82.0,81.0,62.0,81.0,27.0,77.0
J. Pickford,GK,25000000.0,82,84,29,3,Left,4,1,185,77,,,,,,
Y. Tielemans,"CM, CDM",37500000.0,82,84,26,2,Right,5,4,176,72,50.0,79.0,85.0,79.0,69.0,69.0
E. Ünal,ST,38000000.0,82,84,26,2,Right,4,3,187,78,72.0,84.0,70.0,82.0,40.0,80.0
L. Torreira,"CDM, CM",33000000.0,82,84,27,3,Right,3,3,166,60,76.0,70.0,77.0,80.0,79.0,78.0
P. Kimpembe,CB,32500000.0,82,84,27,3,Left,3,2,189,80,79.0,43.0,68.0,69.0,81.0,86.0
F. Kessié,"CDM, CM",34000000.0,82,84,26,3,Right,4,3,183,74,79.0,76.0,74.0,79.0,81.0,87.0
D. Malen,"RM, ST",39500000.0,82,84,24,2,Right,4,4,178,77,89.0,80.0,73.0,85.0,35.0,73.0
A. Mac Allister,"CM, CAM, CDM",39500000.0,82,84,24,3,Right,3,3,176,72,70.0,79.0,82.0,82.0,70.0,72.0
